host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
100,0,49.26999,-123.16867,1,2,1,3,76,99,191
100,90,49.28622,-123.119,1,1,1,2,75,97,31
90,71,49.26274,-123.12739,1,1,80,2,60,99,44
100,55,49.29025,-123.13413,1,1,1,1,47,96,82
NA,75,49.24835,-123.08046,2,2,14,4,68,88,12
100,NA,49.28131,-123.13669,1,1,180,1,78,80,1
100,100,49.21434,-123.13249,1,1,3,2,79,97,24
NA,NA,49.260980000000004,-123.07341,1,1,3,2,38,98,41
100,100,49.23797,-123.05422,1,2,30,4,50,97,152
100,94,49.25977,-123.05534,1,2,2,4,78,96,162
100,100,49.25275,-123.09144,1,1,2,1,35,91,80
81,64,49.25456,-123.03492,1,1,30,1,43,91,25
100,100,49.24258,-123.13438,1,1,1,2,55,90,180
100,100,49.24281,-123.13318,1,1,1,2,55,87,135
100,0,49.27493,-123.09964,1,1,2,2,80,97,60
NA,NA,49.27562,-123.06066,3,3,100,4,84,84,12
100,99,49.25976,-123.06033,1,3,1,2,82,97,85
100,63,49.26566,-123.07181,1,0,2,1,45,94,187
NA,NA,49.26415,-123.15793,1,1,2,2,69,97,31
20,0,49.27526,-123.12896,1,1,30,2,69,100,7
100,99,49.26196,-123.05811,1,1,1,2,55,95,194
NA,NA,49.23108,-123.02945,1,2,1,4,45,91,105
94,3,49.25031,-123.07507,1,1,2,2,69,96,83
100,0,49.24175,-123.02801,1,1,30,1,40,98,50
100,0,49.24294,-123.03025,1,1,30,1,40,97,40
18,71,49.26405,-123.17845,1,1,1,2,75,96,86
100,83,49.2172,-123.13793,1,1,1,2,45,94,32
NA,NA,49.28306,-123.10877,1,1,30,1,55,95,8
100,70,49.21255,-123.0574,1,1,1,2,79,98,41
100,99,49.2593,-123.05971,1,1,1,2,52,96,247
74,89,49.2585,-123.09265,1,1,2,2,62,85,135
NA,NA,49.21586,-123.12532,1,1,1,1,47,97,214
NA,0,49.27369,-123.06303,1,1,2,2,83,97,189
NA,NA,49.26065,-123.09872,1,1,30,2,65,100,3
100,100,49.26321,-123.16329,1,1,30,1,55,91,39
100,100,49.26346,-123.16109,1,1,30,1,55,84,32
NA,NA,49.27652,-123.11044,1,1,1,2,65,97,188
NA,NA,49.27756,-123.12036,2,2,28,3,79,100,6
93,87,49.28561,-123.13237,1,1,30,4,77,100,1
100,100,49.27905,-123.11948,1,1,90,2,75,100,5
89,100,49.24415,-123.0496,1,1,30,2,65,87,6
87,67,49.26983,-123.15063,1,1,2,1,49,97,184
100,50,49.28249,-123.1243,2,3,30,4,70,99,34
67,NA,49.23516,-123.07951,2,2,30,3,65,99,26
100,67,49.26153,-123.13439,1,1,30,2,35,97,30
75,88,49.28035,-123.12505,1,1,33,1,68,100,3
100,96,49.2663,-123.04275,1,1,4,2,80,99,92
